year,month,season,is_typhoon
1884,1,Winter,0
1884,2,Winter,0
1884,3,Spring,0
1884,4,Spring,0
1884,5,Spring,0
1884,6,Summer,1
1884,7,Summer,1
1884,8,Summer,1
1884,9,Autumn,1
1884,10,Autumn,0
1884,11,Autumn,0
1884,12,Winter,0
1885,1,Winter,0
1885,2,Winter,0
1885,3,Spring,0
1885,4,Spring,0
1885,5,Spring,0
1885,6,Summer,0
1885,7,Summer,1
1885,8,Summer,0
1885,9,Autumn,1
1885,10,Autumn,0
1885,11,Autumn,0
1885,12,Winter,0
1886,1,Winter,0
1886,2,Winter,0
1886,3,Spring,0
1886,4,Spring,0
1886,5,Spring,0
1886,6,Summer,1
1886,7,Summer,0
1886,8,Summer,1
1886,9,Autumn,1
1886,10,Autumn,1
1886,11,Autumn,1
1886,12,Winter,0
1887,1,Winter,0
1887,2,Winter,0
1887,3,Spring,0
1887,4,Spring,0
1887,5,Spring,1
1887,6,Summer,0
1887,7,Summer,1
1887,8,Summer,0
1887,9,Autumn,1
1887,10,Autumn,1
1887,11,Autumn,0
1887,12,Winter,0
1888,1,Winter,0
1888,2,Winter,0
1888,3,Spring,0
1888,4,Spring,0
1888,5,Spring,0
1888,6,Summer,0
1888,7,Summer,1
1888,8,Summer,1
1888,9,Autumn,1
1888,10,Autumn,0
1888,11,Autumn,1
1888,12,Winter,0
1889,1,Winter,0
1889,2,Winter,0
1889,3,Spring,0
1889,4,Spring,0
1889,5,Spring,0
1889,6,Summer,0
1889,7,Summer,0
1889,8,Summer,1
1889,9,Autumn,1
1889,10,Autumn,1
1889,11,Autumn,0
1889,12,Winter,0
1890,1,Winter,0
1890,2,Winter,0
1890,3,Spring,0
1890,4,Spring,0
1890,5,Spring,0
1890,6,Summer,0
1890,7,Summer,1
1890,8,Summer,0
1890,9,Autumn,1
1890,10,Autumn,1
1890,11,Autumn,0
1890,12,Winter,0
1891,1,Winter,0
1891,2,Winter,0
1891,3,Spring,0
1891,4,Spring,0
1891,5,Spring,0
1891,6,Summer,0
1891,7,Summer,0
1891,8,Summer,1
1891,9,Autumn,1
1891,10,Autumn,1
1891,11,Autumn,0
1891,12,Winter,0
1892,1,Winter,0
1892,2,Winter,0
1892,3,Spring,0
1892,4,Spring,0
1892,5,Spring,0
1892,6,Summer,0
1892,7,Summer,1
1892,8,Summer,1
1892,9,Autumn,1
1892,10,Autumn,0
1892,11,Autumn,1
1892,12,Winter,0
1893,1,Winter,0
1893,2,Winter,0
1893,3,Spring,0
1893,4,Spring,0
1893,5,Spring,1
1893,6,Summer,0
1893,7,Summer,1
1893,8,Summer,1
1893,9,Autumn,0
1893,10,Autumn,1
1893,11,Autumn,0
1893,12,Winter,0
1894,1,Winter,0
1894,2,Winter,0
1894,3,Spring,0
1894,4,Spring,0
1894,5,Spring,0
1894,6,Summer,1
1894,7,Summer,1
1894,8,Summer,0
1894,9,Autumn,0
1894,10,Autumn,0
1894,11,Autumn,0
1894,12,Winter,0
1895,1,Winter,0
1895,2,Winter,0
1895,3,Spring,0
1895,4,Spring,0
1895,5,Spring,1
1895,6,Summer,1
1895,7,Summer,1
1895,8,Summer,1
1895,9,Autumn,1
1895,10,Autumn,0
1895,11,Autumn,0
1895,12,Winter,0
1896,1,Winter,0
1896,2,Winter,0
1896,3,Spring,0
1896,4,Spring,0
1896,5,Spring,1
1896,6,Summer,0
1896,7,Summer,1
1896,8,Summer,1
1896,9,Autumn,1
1896,10,Autumn,0
1896,11,Autumn,0
1896,12,Winter,0
1897,1,Winter,0
1897,2,Winter,0
1897,3,Spring,0
1897,4,Spring,0
1897,5,Spring,0
1897,6,Summer,0
1897,7,Summer,1
1897,8,Summer,1
1897,9,Autumn,1
1897,10,Autumn,1
1897,11,Autumn,0
1897,12,Winter,0
1898,1,Winter,0
1898,2,Winter,0
1898,3,Spring,0
1898,4,Spring,0
1898,5,Spring,0
1898,6,Summer,1
1898,7,Summer,1
1898,8,Summer,1
1898,9,Autumn,0
1898,10,Autumn,1
1898,11,Autumn,1
1898,12,Winter,0
1899,1,Winter,0
1899,2,Winter,0
1899,3,Spring,0
1899,4,Spring,0
1899,5,Spring,1
1899,6,Summer,0
1899,7,Summer,1
1899,8,Summer,1
1899,9,Autumn,1
1899,10,Autumn,1
1899,11,Autumn,0
1899,12,Winter,0
1900,1,Winter,0
1900,2,Winter,0
1900,3,Spring,0
1900,4,Spring,0
1900,5,Spring,0
1900,6,Summer,0
1900,7,Summer,0
1900,8,Summer,1
1900,9,Autumn,1
1900,10,Autumn,0
1900,11,Autumn,0
1900,12,Winter,0
1901,1,Winter,0
1901,2,Winter,0
1901,3,Spring,0
1901,4,Spring,0
1901,5,Spring,1
1901,6,Summer,0
1901,7,Summer,1
1901,8,Summer,1
1901,9,Autumn,1
1901,10,Autumn,1
1901,11,Autumn,0
1901,12,Winter,0
1902,1,Winter,0
1902,2,Winter,0
1902,3,Spring,0
1902,4,Spring,0
1902,5,Spring,1
1902,6,Summer,0
1902,7,Summer,1
1902,8,Summer,1
1902,9,Autumn,1
1902,10,Autumn,1
1902,11,Autumn,0
1902,12,Winter,0
1903,1,Winter,0
1903,2,Winter,0
1903,3,Spring,0
1903,4,Spring,0
1903,5,Spring,0
1903,6,Summer,0
1903,7,Summer,1
1903,8,Summer,0
1903,9,Autumn,1
1903,10,Autumn,0
1903,11,Autumn,0
1903,12,Winter,0
1904,1,Winter,0
1904,2,Winter,0
1904,3,Spring,0
1904,4,Spring,0
1904,5,Spring,1
1904,6,Summer,0
1904,7,Summer,1
1904,8,Summer,1
1904,9,Autumn,1
1904,10,Autumn,1
1904,11,Autumn,0
1904,12,Winter,0
1905,1,Winter,0
1905,2,Winter,0
1905,3,Spring,0
1905,4,Spring,0
1905,5,Spring,1
1905,6,Summer,1
1905,7,Summer,1
1905,8,Summer,1
1905,9,Autumn,0
1905,10,Autumn,0
1905,11,Autumn,1
1905,12,Winter,1
1906,1,Winter,0
1906,2,Winter,0
1906,3,Spring,0
1906,4,Spring,0
1906,5,Spring,1
1906,6,Summer,1
1906,7,Summer,1
1906,8,Summer,0
1906,9,Autumn,0
1906,10,Autumn,1
1906,11,Autumn,1
1906,12,Winter,0
1907,1,Winter,0
1907,2,Winter,0
1907,3,Spring,0
1907,4,Spring,0
1907,5,Spring,0
1907,6,Summer,1
1907,7,Summer,1
1907,8,Summer,1
1907,9,Autumn,1
1907,10,Autumn,0
1907,11,Autumn,1
1907,12,Winter,0
1908,1,Winter,0
1908,2,Winter,0
1908,3,Spring,0
1908,4,Spring,0
1908,5,Spring,1
1908,6,Summer,1
1908,7,Summer,0
1908,8,Summer,1
1908,9,Autumn,1
1908,10,Autumn,1
1908,11,Autumn,0
1908,12,Winter,0
1909,1,Winter,0
1909,2,Winter,0
1909,3,Spring,0
1909,4,Spring,0
1909,5,Spring,0
1909,6,Summer,0
1909,7,Summer,1
1909,8,Summer,1
1909,9,Autumn,1
1909,10,Autumn,1
1909,11,Autumn,0
1909,12,Winter,0
1910,1,Winter,0
1910,2,Winter,0
1910,3,Spring,1
1910,4,Spring,0
1910,5,Spring,1
1910,6,Summer,0
1910,7,Summer,1
1910,8,Summer,1
1910,9,Autumn,1
1910,10,Autumn,1
1910,11,Autumn,0
1910,12,Winter,0
1911,1,Winter,0
1911,2,Winter,0
1911,3,Spring,0
1911,4,Spring,0
1911,5,Spring,1
1911,6,Summer,1
1911,7,Summer,1
1911,8,Summer,1
1911,9,Autumn,1
1911,10,Autumn,1
1911,11,Autumn,1
1911,12,Winter,0
1912,1,Winter,0
1912,2,Winter,0
1912,3,Spring,1
1912,4,Spring,0
1912,5,Spring,0
1912,6,Summer,1
1912,7,Summer,0
1912,8,Summer,1
1912,9,Autumn,1
1912,10,Autumn,1
1912,11,Autumn,1
1912,12,Winter,1
1913,1,Winter,0
1913,2,Winter,0
1913,3,Spring,0
1913,4,Spring,0
1913,5,Spring,0
1913,6,Summer,0
1913,7,Summer,1
1913,8,Summer,1
1913,9,Autumn,1
1913,10,Autumn,1
1913,11,Autumn,1
1913,12,Winter,0
1914,1,Winter,0
1914,2,Winter,0
1914,3,Spring,0
1914,4,Spring,0
1914,5,Spring,0
1914,6,Summer,1
1914,7,Summer,1
1914,8,Summer,1
1914,9,Autumn,1
1914,10,Autumn,0
1914,11,Autumn,1
1914,12,Winter,0
1915,1,Winter,0
1915,2,Winter,1
1915,3,Spring,0
1915,4,Spring,0
1915,5,Spring,1
1915,6,Summer,0
1915,7,Summer,1
1915,8,Summer,1
1915,9,Autumn,1
1915,10,Autumn,1
1915,11,Autumn,0
1915,12,Winter,0
1916,1,Winter,0
1916,2,Winter,0
1916,3,Spring,0
1916,4,Spring,0
1916,5,Spring,0
1916,6,Summer,0
1916,7,Summer,1
1916,8,Summer,1
1916,9,Autumn,0
1916,10,Autumn,1
1916,11,Autumn,1
1916,12,Winter,0
1917,1,Winter,0
1917,2,Winter,0
1917,3,Spring,0
1917,4,Spring,0
1917,5,Spring,0
1917,6,Summer,0
1917,7,Summer,1
1917,8,Summer,1
1917,9,Autumn,1
1917,10,Autumn,1
1917,11,Autumn,0
1917,12,Winter,0
1918,1,Winter,0
1918,2,Winter,0
1918,3,Spring,1
1918,4,Spring,1
1918,5,Spring,0
1918,6,Summer,0
1918,7,Summer,1
1918,8,Summer,1
1918,9,Autumn,1
1918,10,Autumn,1
1918,11,Autumn,0
1918,12,Winter,0
1919,1,Winter,0
1919,2,Winter,0
1919,3,Spring,0
1919,4,Spring,0
1919,5,Spring,0
1919,6,Summer,0
1919,7,Summer,1
1919,8,Summer,1
1919,9,Autumn,1
1919,10,Autumn,1
1919,11,Autumn,0
1919,12,Winter,0
1920,1,Winter,0
1920,2,Winter,0
1920,3,Spring,0
1920,4,Spring,0
1920,5,Spring,0
1920,6,Summer,1
1920,7,Summer,1
1920,8,Summer,1
1920,9,Autumn,1
1920,10,Autumn,1
1920,11,Autumn,1
1920,12,Winter,0
1921,1,Winter,0
1921,2,Winter,0
1921,3,Spring,0
1921,4,Spring,0
1921,5,Spring,0
1921,6,Summer,1
1921,7,Summer,1
1921,8,Summer,1
1921,9,Autumn,1
1921,10,Autumn,1
1921,11,Autumn,1
1921,12,Winter,1
1922,1,Winter,0
1922,2,Winter,0
1922,3,Spring,1
1922,4,Spring,0
1922,5,Spring,0
1922,6,Summer,1
1922,7,Summer,1
1922,8,Summer,1
1922,9,Autumn,1
1922,10,Autumn,1
1922,11,Autumn,1
1922,12,Winter,0
1923,1,Winter,0
1923,2,Winter,0
1923,3,Spring,1
1923,4,Spring,0
1923,5,Spring,1
1923,6,Summer,1
1923,7,Summer,1
1923,8,Summer,1
1923,9,Autumn,1
1923,10,Autumn,0
1923,11,Autumn,1
1923,12,Winter,0
1924,1,Winter,0
1924,2,Winter,0
1924,3,Spring,0
1924,4,Spring,0
1924,5,Spring,0
1924,6,Summer,0
1924,7,Summer,1
1924,8,Summer,1
1924,9,Autumn,1
1924,10,Autumn,1
1924,11,Autumn,0
1924,12,Winter,0
1925,1,Winter,0
1925,2,Winter,0
1925,3,Spring,0
1925,4,Spring,1
1925,5,Spring,0
1925,6,Summer,1
1925,7,Summer,1
1925,8,Summer,1
1925,9,Autumn,1
1925,10,Autumn,1
1925,11,Autumn,1
1925,12,Winter,0
1926,1,Winter,0
1926,2,Winter,0
1926,3,Spring,0
1926,4,Spring,0
1926,5,Spring,0
1926,6,Summer,1
1926,7,Summer,0
1926,8,Summer,1
1926,9,Autumn,1
1926,10,Autumn,0
1926,11,Autumn,0
1926,12,Winter,0
1927,1,Winter,0
1927,2,Winter,0
1927,3,Spring,0
1927,4,Spring,0
1927,5,Spring,0
1927,6,Summer,1
1927,7,Summer,0
1927,8,Summer,1
1927,9,Autumn,1
1927,10,Autumn,1
1927,11,Autumn,1
1927,12,Winter,0
1928,1,Winter,0
1928,2,Winter,0
1928,3,Spring,0
1928,4,Spring,0
1928,5,Spring,1
1928,6,Summer,1
1928,7,Summer,1
1928,8,Summer,1
1928,9,Autumn,1
1928,10,Autumn,1
1928,11,Autumn,1
1928,12,Winter,0
1929,1,Winter,0
1929,2,Winter,0
1929,3,Spring,0
1929,4,Spring,0
1929,5,Spring,0
